Name	Reps	Warmup Weight Adjustment

Ignore

Empty

Hypertrophy Pyramid	12 / 10 / 8 / 12	-10% / -5%

Basic Hypertrophy	12 / 10 / 8	-10% / -5%

Strength 5x5	5 / 5 / 5 / 5 / 5

Deload	5 / 5 / 5	-20% / -10%

5/3/1/AMRAP	5 / 3 / 1 / 10	-25 / -10% /

4x4	4 / 4 / 4 / 4

4x8	8 / 8 / 8 / 8

3x8	8 / 8 / 8

10x3	3 / 3 / 3 / 3 / 3 / 3 / 3 / 3 / 3 / 3

10's Accumulation	10 / 10 / 10 / 10 / 10

10's Intensification	5 / 5 / 10 / 10 / 10	-12.5% / -10%

10's Realization	5 / 3 / 1 / 10	- 25% / -15% / -5%

8's Accumulation	8 / 8 / 8 / 8 / 8

8's Intensification	3 / 3 / 7 / 7 / 7 / 7	-12.5% / -10%

8's Realization	5 / 3 / 2 / 1 / 8	- 25% / -15% / -5%

5's Accumulation	5 / 5 / 5 / 5 / 5 / 5

5's Intensification	2 / 2 / 4 / 4 / 4 / 4 / 4	-12.5% / -10%

5's Realization	5 / 3 / 2 / 1 / 1 / 5	- 25% / -15% / -5%

3's Accumulation	3 / 3 / 3 / 3 / 3 / 3 / 3

3's Intensification	1 / 1 / 3 / 3 / 3 / 3 / 3	-12.5% / -10%

3's Realization	5 / 3 / 2 / 1 / 1 / 1 / 3	- 25% / -15% / -5%